name,mass,ri,row load,e19025ba_8.txt,e19025ba_9.txt,e19025ba_10.txt,e19025ba_11.txt,e19025ba_12.txt,e19025ba_13.txt,e19025ba_14.txt,e19025ba_15.txt,e19025ba_17.txt,e19025ba_18.txt,e19025ba_20.txt,e19025ba_21.txt
#Adenosine_(3TMS),230,2615.5,1,58111,113910,192626,682353,1903317,4374347,1.23E+07,2.77E+07,2448489,3958621,3335195,1633214
#Alanine_(3TMS),110+133+114+100+188+190,1366.3,0.9166667,516301,703864,1098978,2196727,3502960,6954394,8184129,2.33E+07,1.14E+07,4533279,1.38E+07,
#Alanine_beta-_(3TMS),86+248+174+133+100,1432.6,1,282425,541837,889299,3276090,5124705,1.49E+07,3.46E+07,1.01E+08,8795536,6876144,1.32E+07,4314426
#Butanoic acid_3-hydroxy-_(2TMS),191+88+117+149+133,1154.3,1,511201,466742,2731937,9562792,1.93E+07,4.16E+07,1.04E+08,2.71E+08,3265523,2573893,2381211,2390800
#Butanoic acid_4-amino-_(3TMS),86+175+100+304+174,1526,0.8333333,212435,297171,489110,2101439,3040751,9308924,2.53E+07,9.25E+07,,,948929,497998
"#Cinnamic acid, trans- (1TMS)",161+135+192+205,1552.5,1,3.11E+07,3.00E+07,3.09E+07,2.21E+07,2.62E+07,2.16E+07,2.41E+07,2.23E+07,728000000,458000000,793000000,2.96E+08
#Citric acid_(4TMS),149+273+183+133+211+275+277+278,1814.4,1,1248054,2619896,5496835,1.54E+07,3.27E+07,7.42E+07,2.19E+08,,7316864,2490016,6391089,5081428
#Erythritol_(4TMS),133+117+129+103+217,1500,0.9166667,7516079,1.26E+07,2.28E+07,5.21E+07,1.08E+08,2.43E+08,,,3.40E+07,2.73E+07,5.88E+07,
#Ethanolamine_(3TMS),175,1270,0.8333333,2.72E+07,3.54E+07,3.64E+07,3.91E+07,4.25E+07,4.16E+07,5.26E+07,5.23E+07,135476,,96714,
#Fructose_(1MEOX)(5TMS),133+103+217+89+117+220,1862,1,4058719,8417935,1.54E+07,4.32E+07,8.64E+07,2.07E+08,,,4.08E+08,2.56E+08,4.58E+07,1.24E+08
#Fumaric acid_(2TMS),143+246+133+115+245+247+249,1363.5,1,3829018,3629959,4267977,7708616,3.49E+07,5.92E+07,1.25E+08,2.97E+08,2933622,2577832,3924456,2966154
#Glucose_(1MEOX)(5TMS),160+117+129+205+103+217+220+162+132+207,1901.9,0.75,3743250,5410037,8644686,2.88E+07,5.02E+07,1.69E+08,2.32E+08,,,,,2.19E+07
#Glutaric acid_(2TMS),116+149+129+158+97,1415.5,1,1.42E+07,2236764,1.82E+07,1.96E+07,2.52E+07,3.87E+07,8.90E+07,2.00E+08,1.14E+07,1.05E+07,1.79E+07,1.93E+07
#Glutaric acid_2-hydroxy-_(3TMS),157+149+247+203+129+251,1574,1,3604070,5258094,1.16E+07,2.54E+07,5.49E+07,1.17E+08,,,4726103,2297310,3526032,2499682
#Glyceric acid_(3TMS),102+117+103+133+189,1339.2,1,2329360,3099337,5005242,9682653,1.79E+07,3.60E+07,1.00E+08,2.13E+08,1.55E+07,7548641,7941152,6574456
#Glycine_(3TMS),86+133+175+100+174,1313,1,8066208,7505936,1.29E+07,2.98E+07,3.80E+07,1.14E+08,1.91E+08,,,,,
#Glycolic acid_(2TMS),177,1068.8,1,299121,337818,310989,321492,377602,413631,554441,844111,767005,613409,551522,503651
#Hydroxylamine_(3TMS),146,1103,1,7.29E+07,6.35E+07,6.04E+07,6.48E+07,5.40E+07,5.54E+07,4.19E+07,4.81E+07,2.82E+07,1.60E+07,2.15E+07,2.08E+07
#Inositol_myo-_(6TMS),129+191+305+217+133,2089.7,1,5573935,1.19E+07,2.27E+07,5.88E+07,1.23E+08,2.45E+08,,,,4.22E+08,,
#Lactic acid_(2TMS),118+190+191+117+133+119+193+219+222,1051.2,1,2.13E+07,3.00E+07,6.81E+07,1.52E+08,2.90E+08,,,,,5.29E+08,,2.29E+08
#Malic acid_(3TMS),101+133+117+149+233+245+247+249,1486.3,1,1284139,2259927,4859596,1.10E+07,2.28E+07,4.75E+07,1.36E+08,3.46E+08,5132093,3840156,9518517,4599620
#Psicose_(1MEOX)(5TMS),308,1871.2,0.8333333,43460,102368,214462,622424,1327922,3592538,8387578,2.68E+07,463656,,344258,
#Pyroglutamic acid_(2TMS),157+258+158+156+230+160+159+263+162+234,1519.4,0.9166667,5184231,1.03E+07,1.92E+07,5.12E+07,1.01E+08,2.34E+08,,,,,,
#Pyruvic acid_(1MEOX)(1TMS),100+99+89+174+115+177,1043.8,0.8333333,707439,292613,1585233,1904258,2686225,1.01E+07,1.75E+07,9.00E+07,3370824,3432823,,
#Succinic acid_(2TMS),149+247+129+133+172+249+251,1325.9,1,8815861,3485521,1.21E+07,1.52E+07,2.16E+07,3.82E+07,9.40E+07,1.76E+08,1.46E+07,1.25E+07,1.69E+07,1.33E+07
#Talose_(1MEOX)(5TMS),321,1884.6,0.9166667,110783,286410,639452,3061623,5627490,2.06E+07,3.01E+07,1.41E+08,665621,,3479696,5654755
#Valine_(2TMS),146+145+144+218+100,1212.9,1,1393074,2476504,4212884,1.30E+07,2.41E+07,6.39E+07,1.39E+08,,,,,
#c10,71,1000,1,1.12E+08,1.12E+08,9.93E+07,1.07E+08,1.10E+08,1.06E+08,9.84E+07,9.62E+07,9.37E+07,8.09E+07,9.77E+07,8.26E+07
#c12,71,1200.4,1,1.31E+08,1.31E+08,1.32E+08,1.30E+08,1.33E+08,1.37E+08,1.42E+08,1.45E+08,1.29E+08,1.19E+08,1.26E+08,1.19E+08
#c17,71,1700.7,1,1.22E+08,1.18E+08,1.20E+08,1.01E+08,1.12E+08,1.14E+08,1.23E+08,1.28E+08,1.23E+08,1.23E+08,1.26E+08,1.27E+08
#c19,85,1900.6,0.8333333,6.61E+07,6.42E+07,6.61E+07,5.89E+07,6.38E+07,7.24E+07,7.50E+07,8.80E+07,4.07E+07,4.39E+07,,
#c22,71,2201,1,1.12E+08,1.08E+08,1.11E+08,1.10E+08,1.14E+08,,1.21E+08,1.12E+08,8.47E+07,8.99E+07,8.99E+07,
#c28,71,2801.2,1,8.85E+07,8.40E+07,8.54E+07,8.93E+07,8.77E+07,9.40E+07,8.88E+07,8.73E+07,6.49E+07,9.13E+07,6.05E+07,8.99E+07
#c32,71,3200.9,1,6.93E+07,6.57E+07,6.73E+07,7.10E+07,6.92E+07,7.20E+07,6.64E+07,6.95E+07,6.87E+07,6.84E+07,6.02E+07,6.78E+07
#c36,71,3602.3,1,5.37E+07,4.94E+07,5.19E+07,5.58E+07,5.48E+07,5.76E+07,4.91E+07,5.18E+07,5.30E+07,5.50E+07,5.05E+07,5.01E+07
#Serine_(2TMS),103+116+132+117+144+118,1263.4,1,,,,,3.86E+07,7.83E+07,117427922,341902820,3.35E+08,,2.54E+08,1.06E+08
#Serine_(3TMS),116+218+133+204+100+206,1369.6,1,,,2.24E+05,4.06E+06,5.04E+06,5.98E+07,205202237,7.95E+08,6.76E+08,6.66E+08,7.51E+08,2.38E+08
